radiu;Rmean;Surmean;Surfmax;Surfmin;VerSur;Tempedust
17;16.915;0.44869;0.49617;0.35879;0.029384;147.07504
17.17;17.085;0.42675;0.50164;0.35738;0.033661;146.5856
17.34;17.255;0.44465;0.49969;0.37831;0.030112;146.10262
17.51;17.425;0.41575;0.51436;0.33257;0.042357;145.62593
17.68;17.595;0.41181;0.49887;0.32179;0.045914;145.15541
17.85;17.765;0.43586;0.5016;0.33745;0.042365;144.6909
18.02;17.935;0.42258;0.56535;0.3458;0.047551;144.2323
18.19;18.105;0.39858;0.45538;0.33807;0.034697;143.77943
18.36;18.275;0.41859;0.51432;0.30859;0.05099;143.33223
18.53;18.445;0.40429;0.4819;0.30214;0.054642;142.89052
18.7;18.615;0.40291;0.54549;0.26479;0.080319;142.45421
18.87;18.785;0.38906;0.46254;0.31243;0.039187;142.02318
19.04;18.955;0.40373;0.47205;0.35766;0.025305;141.59732
19.21;19.125;0.38523;0.47948;0.29565;0.056286;141.17653
19.38;19.295;0.39718;0.49673;0.27694;0.066413;140.7607
19.55;19.465;0.38351;0.51635;0.27262;0.052436;140.3497
19.72;19.635;0.36705;0.46589;0.29363;0.04397;139.94348
19.89;19.805;0.36554;0.45928;0.26869;0.051211;139.54192
20.06;19.975;0.19727;0.26974;0.13857;0.030467;139.14493
20.23;20.145;0.010965;0.036001;0;0.008103;138.75241
20.4;20.315;0;0;0;0;138.36429
