colm1;colm2
1.13048;0.18038
-1.0584;-0.43865
-1.01513;-0.53213
-0.06676;1.14476
1.13985;0.12547
-0.28347;1.11204
1.12969;0.20358
-0.79208;0.83173
-0.45777;-1.05374
-1.11197;-0.29034
-0.86322;-0.75934
-1.14935;0.04649
0.60764;-0.97726
-1.13615;-0.186
-0.9411;-0.66367
0.35302;-1.09659
-0.69474;-0.91967
-1.09547;-0.36132
-0.12063;-1.14726
0.84947;-0.78115
-0.29808;1.11637
0.85015;-0.78194
0.99649;-0.58529
-1.07124;-0.43628
0.34214;1.10518
1.14495;0.16942
-0.97732;-0.62098
1.15597;0.07793
-0.34952;1.10518
-1.15755;0.06355
-0.30025;1.12077
0.36179;-1.1023
-1.14635;0.18372
-1.13954;-0.22383
0.871;-0.76879
-0.97088;-0.63899
1.11517;-0.32898
0.05302;1.16275
0.2635;1.1341
-0.69635;0.93393
-0.42639;1.0845
-0.63247;0.97929
0.68834;-0.94102
-0.97147;0.64592
-0.71039;-0.92591
0.16284;1.15614
0.98444;-0.62878
-0.37349;1.10735
-0.97346;0.64718
-1.15624;-0.17379
0.64805;-0.97387
-1.08914;-0.42792
-1.07576;-0.46196
0.24949;1.14518
0.47343;-1.07152
0.69362;0.94561
0.67982;-0.95531
-1.07157;-0.47783
1.14536;0.25662
-0.39504;1.10632
1.10345;0.40327
-0.88413;-0.7748
0.51667;-1.0564
0.0134;1.1765
-0.71902;-0.93161
-0.7753;0.88629
0.92907;-0.7243
-0.84321;-0.82271
0.02585;-1.17828
-0.02108;-1.17879
0.62216;1.00331
-0.90056;-0.76274
0.90988;0.75328
0.01522;1.18194
-1.03923;0.56414
1.18144;-0.04138
1.14522;-0.29474
-1.07244;-0.50108
0.25145;1.15704
0.53238;1.05801
1.18497;0.00157
-0.65315;-0.9893
-1.01405;-0.61473
0.69853;0.9593
-1.17957;-0.13026
-0.88904;0.78731
-1.18263;-0.11027
1.18865;0.00797
0.62821;-1.00898
0.14362;1.18138
-1.18257;0.1347
-1.12566;-0.38771
0.75456;-0.92078
-0.34248;-1.14097
-1.05976;-0.5461
-0.85224;-0.83422
-0.48743;1.08913
-0.80393;-0.88226
0.29106;-1.15799
-0.10824;-1.18956
0.78606;-0.90016
0.90999;0.77559
-0.85553;0.83578
0.53939;1.06843
-0.10765;-1.19173
0.04874;-1.19607
0.70002;-0.9717
-0.84322;-0.85103
-0.39789;1.13177
1.1599;0.30534
-1.14842;0.34941
-0.66197;1.0022
-0.80426;-0.89195
0.60434;1.0384
1.19699;0.10628
0.25474;-1.17509
-0.66971;-0.99936
-1.05539;0.5784
-0.25407;1.17696
-0.67261;-0.99892
1.20048;0.10685
-0.84886;0.85606
-1.19911;0.12725
-1.12116;-0.44449
-0.03673;-1.20585
-0.99318;-0.68615
1.08167;0.53814
-1.19862;-0.15512
-0.21603;-1.18906
0.70266;-0.98374
-1.02962;0.63661
0.19864;1.19426
-1.13438;0.42497
0.71136;0.98056
-1.05692;-0.59345
0.21852;1.19268
1.18521;-0.2584
0.25254;1.18707
1.05702;0.59765
-1.06139;0.59024
0.2974;-1.17766
-0.39182;1.1511
-0.54209;-1.08784
0.7358;0.96932
0.84774;0.87364
0.44472;-1.13273
1.05811;0.60314
1.06679;-0.58783
-1.11987;0.48272
0.43859;1.13796
-0.35205;-1.16808
0.91408;0.80847
-0.2258;1.19993
-1.19799;0.23839
0.90095;0.82571
1.20876;-0.18431
-0.23767;-1.19936
0.01678;1.22373
0.10059;1.22043
0.48375;-1.12438
0.75308;0.96686
-0.81072;0.91984
0.98146;0.73514
-0.49143;1.12453
0.38265;1.16628
-0.99775;-0.7151
-1.22435;-0.09845
-0.96419;0.76189
0.41127;1.15816
0.19147;1.21455
1.08112;0.5863
-1.23043;0.00186
-0.62195;-1.06211
1.14295;-0.45882
1.07619;0.60052
-1.12667;-0.4987
0.88664;0.8576
-0.84221;-0.90052
0.37727;-1.17435
-0.98835;-0.73921
-0.05755;-1.23297
-1.15083;-0.4497
0.65652;-1.04656
-0.45685;1.1496
0.50182;-1.13024
0.41589;1.16556
0.46223;-1.14838
-0.15021;-1.2294
-0.68268;1.03405
-0.98563;-0.75148
-1.16367;0.42796
-1.23936;0.04773
-0.81665;0.93451
0.68673;-1.03395
0.21955;-1.2219
-1.09347;0.59052
-1.22933;-0.18309
1.22717;0.20021
0.48086;1.14787
0.42886;-1.16758
-0.86882;-0.8917
0.84374;-0.91547
-1.23204;-0.1878
0.25806;-1.2194
-1.13901;-0.50807
-1.24657;0.04909
-1.10373;0.58232
-0.51595;1.13697
-0.7592;-0.99137
0.43616;1.17131
1.10836;0.57895
-1.23345;-0.20389
-0.47125;1.15943
-0.78396;-0.97484
0.60142;1.09874
1.24285;-0.15239
-0.76617;0.99236
-0.68981;1.04746
-0.77085;0.98974
-1.17172;0.44929
0.87435;-0.89999
-0.93893;-0.83368
-0.87853;0.89777
0.42575;1.18228
1.21082;-0.33788
-0.96139;-0.81033
-1.15484;0.49864
-1.22574;0.28467
-0.99216;-0.77423
1.25864;0.04991
-1.04779;-0.69904
0.5525;-1.13232
-0.20163;-1.24418
-1.0074;0.76026
-1.13452;-0.55296
0.4263;-1.18793
0.21576;-1.24412
-1.22608;-0.30616
1.23513;-0.26736
-0.2912;-1.23056
0.42896;1.19008
0.1568;1.25582
-1.17283;0.47627
1.16051;0.50796
0.81379;0.9718
-1.26159;-0.11831
1.26592;0.07511
0.41474;-1.19808
-0.89123;-0.90283
0.87942;-0.91464
-1.26987;0.00863
-0.43218;1.19539
-0.0062;1.27137
0.43429;1.1952
-0.29115;1.23843
1.26746;-0.11112
0.23984;1.25013
-0.04123;-1.27282
0.15372;1.26479
0.71699;1.05395
0.67209;1.08386
0.92083;-0.8826
0.01204;-1.27538
-0.88143;-0.92257
1.10144;-0.64556
-0.43861;1.20056
-1.18344;-0.48213
0.47326;1.18813
-0.1088;-1.27389
1.08563;0.67686
0.93478;-0.87375
-0.5261;1.16779
-0.84941;-0.95898
0.65212;-1.10322
1.27409;0.14319
0.70087;-1.07404
-0.324;1.24154
-0.03557;1.28333
0.21908;1.26575
1.2569;0.26669
0.84062;-0.9714
1.11054;-0.64693
-1.01298;-0.79177
0.85717;0.95973
-1.17081;0.53588
0.86511;0.95363
0.69889;1.08205
1.27513;0.18271
-0.37848;1.23243
0.05158;-1.28846
1.2026;0.46652
-1.26868;0.23618
-0.10069;1.2871
-1.19825;-0.4812
-1.28749;-0.10452
-1.28099;-0.1689
0.56379;1.16429
-1.09774;-0.68309
-0.47176;1.20578
-0.48214;-1.2007
-1.20153;-0.48297
-1.21105;-0.4603
-1.14363;-0.61011
-1.06414;0.74175
-0.56562;-1.16719
-1.29773;-0.01966
-1.2232;-0.43463
-0.34921;1.25075
0.28922;1.26649
0.68166;-1.1064
-0.01494;1.30015
1.24834;0.36599
0.96104;0.87771
0.73787;-1.07171
0.11072;-1.29662
-0.0138;1.30323
1.2918;-0.1678
1.0884;-0.7162
1.30061;0.089
-1.2907;-0.19189
-1.08839;0.72105
-1.06553;-0.75468
1.16662;-0.5864
1.20219;-0.51116
1.18727;-0.54671
0.39183;1.24763
0.8552;-0.98982
0.98845;0.85805
-1.25597;-0.36725
0.2436;1.28735
1.18488;0.55966
0.9247;-0.92792
1.11627;0.68794
1.14026;-0.64698
-1.14734;0.63757
-1.23446;-0.44644
-1.29311;-0.22964
-1.08285;-0.7438
1.30758;0.12735
-1.31105;0.09781
-0.61721;1.16121
0.33248;-1.27285
-1.29117;0.25375
-1.17512;-0.59281
-0.32837;1.27572
